subject,day,level,time,cst_sd,cst_mean,cst_cv,f_sd,f_mean,f_cv,hpf_cst_sd,hpf_f_sd,bad_wins,window
SFU01,control,submax10,before,2.648754903,35.08737679,15.70268862,0.000599118,0.042971274,1.394229169,2.648754903,0.000391432,0,19
SFU01,control,submax10,before,2.348930542,39.03602035,4.645846667,0.00023033,0.043806466,0.525790871,2.348930542,0.000348083,0,20
SFU01,control,submax10,before,2.332442608,35.18768103,12.38519442,0.000707442,0.043852398,1.613234493,2.332442608,0.000550271,0,21
SFU01,control,submax10,before,1.288954789,37.66839946,8.841291372,0.000759065,0.044689209,1.69854112,1.288954789,0.000432292,0,22
SFU01,control,submax10,before,1.037910129,36.26793174,3.403037842,0.000406254,0.043852155,0.926416593,1.037910129,0.000218499,0,23
SFU01,control,submax10,before,1.684835647,36.21335624,5.929384272,0.000446626,0.044856724,0.995673402,1.684835647,0.00030538,0,24
SFU01,control,submax10,before,1.904258072,38.60754631,5.133525396,0.000378178,0.0453957,0.833069184,1.904258072,0.00039541,0,25
SFU01,control,submax10,before,3.255362637,35.86259591,13.57374388,0.000850833,0.043273562,1.966172673,3.255362637,0.000483485,0,26
SFU01,control,submax10,before,2.05615795,38.50750148,6.00679291,0.00029798,0.045029004,0.661751599,2.05615795,0.000261085,0,27
SFU01,control,submax10,before,1.519870876,37.66409815,5.50808774,0.000241426,0.045002618,0.536472004,1.519870876,0.000252529,0,28
SFU01,control,submax10,before,1.716482405,37.52976602,5.737007336,0.000553239,0.044073226,1.255272042,1.716482405,0.000404178,0,29
SFU01,control,submax10,before,1.938422149,39.47043041,5.124842817,0.000629856,0.045535104,1.383230815,1.938422149,0.000372366,0,30
SFU01,control,submax10,pre,3.573576896,38.84282437,5.354594164,0.001062741,0.044245478,2.401920853,3.573576896,0.000571104,0,1
SFU01,control,submax10,pre,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2
SFU01,control,submax10,pre,3.478058142,43.03883005,6.047652112,0.000881053,0.046472299,1.89586796,3.478058142,0.00074309,0,3
SFU01,control,submax10,pre,4.123750892,49.60503749,2.7576146,0.001036212,0.047550642,2.179176403,4.123750892,0.00074975,0,4
SFU01,control,submax10,pre,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5
SFU01,control,submax10,pre,4.955525009,53.16291239,1.810917086,0.000296763,0.04675761,0.634683722,4.955525009,0.000354614,0,6
SFU01,control,submax10,pre,4.123468892,54.04678008,1.172694971,0.000703695,0.047871478,1.469966854,4.123468892,0.000459993,0,7
SFU01,control,submax10,pre,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,8
SFU01,control,submax10,pre,4.221253925,54.2965444,6.873545436,0.000582529,0.04745026,1.227663288,4.221253925,0.000359252,0,9
SFU01,control,submax10,pre,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,10
SFU01,control,submax10,pre,1.7240372,53.65662664,4.064368932,0.001519457,0.047137286,3.223472096,1.7240372,0.000282545,0,11
SFU01,control,submax10,pre,1.721151816,54.51535491,2.306954643,0.000575642,0.046258224,1.244409861,1.721151816,0.000445817,0,12
SFU01,control,submax10,pre,1.455304519,54.77227108,1.947109578,0.00035535,0.046930898,0.757176287,1.455304519,0.000357997,0,13
