subject,day,level,time,f_sd,cst_sd,fpc_sd,f_cst_r,fpc_cst_r,f_fpc_r,w
SFU03,control,submax35,pre,0.002555805,1.062965278,0.00802864,0.744394946,0.59147546,0.451344424,5
SFU03,control,submax35,pre,0.00207351,0.643285781,0.007193927,0.551549815,0.282285431,0.120453314,6
SFU03,control,submax35,post,0.001735157,1.027697697,0.007079534,0.870547802,0.518269552,0.323002033,1
SFU03,control,submax35,post,0.001713955,1.252570159,0.008629408,0.852203557,0.850396659,0.802100224,2
SFU03,control,submax35,post,0.002046853,1.053253663,0.00897516,0.430417596,0.640400217,0.025847345,3
SFU03,control,submax35,post,0.00237013,1.185516805,0.006383866,0.836964379,0.746230432,0.676724307,4
SFU03,control,submax35,post,0.002700236,1.216855312,0.002497003,0.654540797,0.786245986,0.458192662,5
SFU03,control,submax35,post,0.002192402,1.36952628,0.007956746,0.375585687,0.854832834,0.357363208,6
SFU04,stretch,submax10,before,0.00023039,0.399807886,0.008242367,0.017361966,0.077218069,0.451427117,1
SFU04,stretch,submax10,before,0.000382234,0.529263204,0.008855047,0.487057411,0.80726719,0.665987788,2
SFU04,stretch,submax10,before,0.00026824,0.629404734,0.009180192,0.545386025,0.929260907,0.551026228,3
SFU04,stretch,submax10,before,0.00022557,0.359357899,0.007575768,0.224366277,0.643974845,0.106305026,4
SFU04,stretch,submax10,before,0.000215611,0.329771138,0.008176927,0.319987663,0.735587255,0.262696438,5
SFU04,stretch,submax10,before,0.000230308,0.341336113,0.008286927,0.496464622,0.680826892,0.62292829,6
SFU04,stretch,submax10,pre,0.00025672,0.64694492,0.008855727,0.696333816,0.78443174,0.641103613,1
SFU04,stretch,submax10,pre,0.000496264,1.02981026,0.009692411,0.843025438,0.962802881,0.874527543,2
SFU04,stretch,submax10,pre,0.000398163,0.777781314,0.00920615,0.636532228,0.945082556,0.679204694,3
SFU04,stretch,submax10,pre,0.000313713,0.608153851,0.008942046,0.567932016,0.808309585,0.635765988,4
SFU04,stretch,submax10,pre,0.000345967,0.772292226,0.009241912,0.474048191,0.718283357,0.714821735,5
SFU04,stretch,submax10,pre,0.000254653,0.698748799,0.008748623,0.552087502,0.85076,0.692212064,6
SFU04,stretch,submax10,post,0.000257032,0.887007387,0.008906276,0.699945947,0.622652475,0.368436335,1
SFU04,stretch,submax10,post,0.000243568,0.809926506,0.009278853,0.572240997,0.643820682,0.438497143,2
SFU04,stretch,submax10,post,0.000293834,3.64433378,0,0,0,0,3
SFU04,stretch,submax10,post,0.000186886,1.782458074,0,0,0,0,4
SFU04,stretch,submax10,post,0.00021397,0.444995726,0.008133196,0.137878192,0.545024754,0.176498177,5
SFU04,stretch,submax10,post,0.000211807,0.622597627,0.008886865,0.176218472,0.764926073,0.247119527,6
SFU04,stretch,submax35,before,0.002242102,1.099220716,0.007946159,0.762245291,0.756878232,0.789421248,1
SFU04,stretch,submax35,before,0.000881932,0.570699814,0.006697293,0.456253653,0.266179352,0.575942536,2
SFU04,stretch,submax35,before,0.001299002,0.781064591,0.004930265,0.704952513,0.46844223,0.567497558,3
SFU04,stretch,submax35,before,0.000996371,0.626218671,0.004230149,0.606156953,0.621050994,0.788744166,4
SFU04,stretch,submax35,before,0.000614351,0.77850846,0.00844034,0.570431963,0.747404969,0.494453749,5
